"","state","jurisdiction","candidate","county","year","office","party","mode","stage","version","writein","unofficial","source","dataverse","caucus","votes"
"114","New Hampshire","ALLENSTOWN","GLEIBERMAN","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"115","New Hampshire","ALLENSTOWN","GREENSTEIN","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"116","New Hampshire","ALLENSTOWN","HARRIS","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"117","New Hampshire","ALLENSTOWN","HEWES","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"118","New Hampshire","ALLENSTOWN","KLOBUCHAR","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",148
"119","New Hampshire","ALLENSTOWN","KOOS","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"120","New Hampshire","ALLENSTOWN","KRAUS","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"121","New Hampshire","ALLENSTOWN","KRICHEVSKY","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"122","New Hampshire","ALLENSTOWN","MOROZ","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"123","New Hampshire","ALLENSTOWN","PATRICK","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",3
"124","New Hampshire","ALLENSTOWN","SANDERS","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",223
"125","New Hampshire","ALLENSTOWN","SCATTER","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"126","New Hampshire","ALLENSTOWN","SESTAK","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",2
"127","New Hampshire","ALLENSTOWN","SLOAN","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"128","New Hampshire","ALLENSTOWN","STEYER","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",44
"129","New Hampshire","ALLENSTOWN","THISTLE","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"130","New Hampshire","ALLENSTOWN","TORGESEN","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"131","New Hampshire","ALLENSTOWN","WARREN","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",41
"132","New Hampshire","ALLENSTOWN","WELLS","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"133","New Hampshire","ALLENSTOWN","WILLIAMSON","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"134","New Hampshire","ALLENSTOWN","YANG","MERRIMACK",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",25
"135","New Hampshire","ALSTEAD","BIDEN","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",16
"136","New Hampshire","ALSTEAD","BOOKER","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"137","New Hampshire","ALSTEAD","BOYD","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"138","New Hampshire","ALSTEAD","BULLOCK","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"139","New Hampshire","ALSTEAD","BURKE","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",0
"140","New Hampshire","ALSTEAD","BUTTIGIEG","CHESHIRE",2020,"president","democrat","total","pri","3/4/2020","FALSE","TRUE","NH Secretary of State","president","FALSE",113
