"office","party_detailed","party_simplified","mode","votes","county_name","county_fips","jurisdiction_name","jurisdiction_fips","candidate","district","dataverse","year","stage","state","special","writein","state_po","state_fips","state_cen","state_ic","readme_check"
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",1695,"GILCHRIST",12041,"GILCHRIST",12041,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",901,"GLADES",12043,"GLADES",12043,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",1534,"GULF",12045,"GULF",12045,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",919,"HAMILTON",12047,"HAMILTON",12047,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",1525,"HARDEE",12049,"HARDEE",12049,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",1769,"HENDRY",12051,"HENDRY",12051,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",17258,"HERNANDO",12053,"HERNANDO",12053,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",7575,"HIGHLANDS",12055,"HIGHLANDS",12055,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",68940,"HILLSBOROUGH",12057,"HILLSBOROUGH",12057,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",2413,"HOLMES",12059,"HOLMES",12059,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",14629,"INDIAN RIVER",12061,"INDIAN RIVER",12061,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",3469,"JACKSON",12063,"JACKSON",12063,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",887,"JEFFERSON",12065,"JEFFERSON",12065,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",841,"LAFAYETTE",12067,"LAFAYETTE",12067,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",25996,"LAKE",12069,"LAKE",12069,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",58582,"LEE",12071,"LEE",12071,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",12686,"LEON",12073,"LEON",12073,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",4644,"LEVY",12075,"LEVY",12075,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",438,"LIBERTY",12077,"LIBERTY",12077,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",1457,"MADISON",12079,"MADISON",12079,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",33334,"MANATEE",12081,"MANATEE",12081,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",27661,"MARION",12083,"MARION",12083,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",12403,"MARTIN",12085,"MARTIN",12085,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",68359,"MIAMI-DADE",12086,"MIAMI-DADE",12086,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",5745,"MONROE",12087,"MONROE",12087,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",11524,"NASSAU",12089,"NASSAU",12089,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",17330,"OKALOOSA",12091,"OKALOOSA",12091,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",2425,"OKEECHOBEE",12093,"OKEECHOBEE",12093,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",41606,"ORANGE",12095,"ORANGE",12095,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
"US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",13931,"OSCEOLA",12097,"OSCEOLA",12097,"Donald J. Trump","statewide","president",2020,"pri","Florida",FALSE,FALSE,"FL",12,59,43,FALSE
